identifier,parliamentary_term,speeches
257148,10,3
257160,10,15
257170,10,27
257727,10,16
28419,10,24
2152,10,17
257132,10,23
124691,10,41
256986,10,85
197416,10,37
197810,10,12
256916,10,27
220871,10,51
256907,10,18
28615,10,214
197624,10,16
197841,10,37
197843,10,21
256809,10,31
119652,10,166
201945,10,46
256811,10,46
96697,10,0
124766,10,55
256807,10,38
193419,10,24
256900,10,34
202073,10,44
256900,10,34
840,10,21
256863,10,31
256864,10,32
256868,10,15
124722,10,8
113523,10,15
28122,10,15
197403,10,75
256934,10,26
256936,10,43
125325,10,37
197778,10,24
95074,10,51
97399,10,38
197782,10,47
218347,10,68
256978,10,62
96725,10,26
125325,10,37
197773,10,71
197780,10,24
197781,10,16
96940,10,49
190713,10,64
197648,10,14
220896,10,88
197670,10,28
197677,10,18
197682,10,49
190464,10,31
256841,10,85
124893,10,18
124895,10,30
197492,10,3
197514,10,32
197517,10,13
197523,10,21
23781,10,6
251324,10,12
257026,10,95
257031,10,52
257041,10,11
257042,10,1
257045,10,41
257047,10,5
257051,10,9
86057,10,16
257067,10,60
257072,10,27
197498,10,14
257085,10,21
124884,10,29
197501,10,29
197516,10,45
197545,10,69
204346,10,8
23788,10,48
257052,10,24
257056,10,30
257058,10,11
257060,10,49
257073,10,33
257076,10,20
257080,10,34
257086,10,34
99878,10,16
257037,10,40
257048,10,41
257065,10,35
257068,10,50
257078,10,39
257081,10,38
257059,10,51
257066,10,24
257079,10,17
28307,10,81
257057,10,22
257083,10,273
124802,10,41
125012,10,36
197636,10,14
197646,10,0
197647,10,8
197649,10,6
257107,10,8
39725,10,1
98582,10,13
257118,10,37
124784,10,25
197653,10,0
197658,10,3
198183,10,0
257100,10,0
257103,10,16
33998,10,23
40224,10,16
88882,10,183
58766,10,179
197655,10,58
257114,10,38
257115,10,35
257117,10,33
257119,10,34
197672,10,19
257110,10,50
257112,10,19
219652,10,45
220908,10,16
96933,10,6
233862,10,58
256813,10,33
256815,10,10
249982,10,47
257005,10,27
257007,10,24
257018,10,30
197769,10,17
197770,10,236
257010,10,13
256804,10,20
256810,10,40
197800,10,26
197802,10,25
256806,10,269
197398,10,25
123562,10,57
257091,10,33
